qry	tgt	minimap2	syntelog
Hvulgare	Taestivum_D		T
Atauschii	Taestivum_D		T
Atauschii_AS60	Taestivum_D		T
Atauschii_AY17	Taestivum_D		T
Atauschii_AY61	Taestivum_D		T
Atauschii_T093	Taestivum_D		T
Atauschii_XJ02	Taestivum_D		T
Taestivum_arinalrfor_D	Taestivum_D		T
Taestivum_jagger_D	Taestivum_D		T
Taestivum_julius_D	Taestivum_D		T
Taestivum_lancer_D	Taestivum_D		T
Taestivum_landmark_D	Taestivum_D		T
Taestivum_mace_D	Taestivum_D		T
Taestivum_mattis_D	Taestivum_D		T
Taestivum_norin61_D	Taestivum_D		T
Taestivum_stanley_D	Taestivum_D		T
Tspelta_D	Taestivum_D		T
Taestivum_A	Taestivum_D		T
Tspelta_A	Taestivum_D		T
Tdicoccoides_A	Taestivum_D		T
Tturgidum_A	Taestivum_D		T
Taestivum_B	Taestivum_D		T
Tspelta_B	Taestivum_D		T
Tdicoccoides_B	Taestivum_D		T
Tturgidum_B	Taestivum_D		T
Hvulgare	Atauschii_AS60		T
Atauschii	Atauschii_AS60		T
Taestivum_D	Atauschii_AS60		T
Atauschii_AY17	Atauschii_AS60		T
Atauschii_AY61	Atauschii_AS60		T
Atauschii_T093	Atauschii_AS60		T
Atauschii_XJ02	Atauschii_AS60		T
Taestivum_arinalrfor_D	Atauschii_AS60		T
Taestivum_jagger_D	Atauschii_AS60		T
Taestivum_julius_D	Atauschii_AS60		T
Taestivum_lancer_D	Atauschii_AS60		T
Taestivum_landmark_D	Atauschii_AS60		T
Taestivum_mace_D	Atauschii_AS60		T
Taestivum_mattis_D	Atauschii_AS60		T
Taestivum_norin61_D	Atauschii_AS60		T
Taestivum_stanley_D	Atauschii_AS60		T
Tspelta_D	Atauschii_AS60		T
Taestivum_A	Atauschii_AS60		T
Tspelta_A	Atauschii_AS60		T
Tdicoccoides_A	Atauschii_AS60		T
Tturgidum_A	Atauschii_AS60		T
Taestivum_B	Atauschii_AS60		T
Tspelta_B	Atauschii_AS60		T
Tdicoccoides_B	Atauschii_AS60		T
Tturgidum_B	Atauschii_AS60		T
