qry	tgt	minimap2	syntelog
Obarthii	Osativa_MSU	T	T
Obrachyantha	Osativa_MSU	T	T
Oglaberrima	Osativa_MSU	T	T
Oglumipatula	Osativa_MSU	T	T
Olongistaminata	Osativa_MSU	T	T
Omeridionalis	Osativa_MSU	T	T
Onivara	Osativa_MSU	T	T
Opunctata	Osativa_MSU	T	T
Orufipogon	Osativa_MSU	T	T
Osativa_9311	Osativa_MSU	T	T
NH001	Osativa_MSU	T	T
NH002	Osativa_MSU	T	T
NH003	Osativa_MSU	T	T
NH005	Osativa_MSU	T	T
NH006	Osativa_MSU	T	T
NH007	Osativa_MSU	T	T
NH008	Osativa_MSU	T	T
NH009	Osativa_MSU	T	T
NH010	Osativa_MSU	T	T
NH011	Osativa_MSU	T	T
NH012	Osativa_MSU	T	T
NH013	Osativa_MSU	T	T
NH014	Osativa_MSU	T	T
NH016	Osativa_MSU	T	T
NH017	Osativa_MSU	T	T
NH018	Osativa_MSU	T	T
NH019	Osativa_MSU	T	T
NH021	Osativa_MSU	T	T
NH022	Osativa_MSU	T	T
NH024	Osativa_MSU	T	T
NH025	Osativa_MSU	T	T
NH026	Osativa_MSU	T	T
NH027	Osativa_MSU	T	T
NH028	Osativa_MSU	T	T
NH029	Osativa_MSU	T	T
NH030	Osativa_MSU	T	T
NH033	Osativa_MSU	T	T
NH034	Osativa_MSU	T	T
NH035	Osativa_MSU	T	T
NH036	Osativa_MSU	T	T
NH038	Osativa_MSU	T	T
NH039	Osativa_MSU	T	T
NH040	Osativa_MSU	T	T
NH041	Osativa_MSU	T	T
NH042	Osativa_MSU	T	T
NH044	Osativa_MSU	T	T
NH045	Osativa_MSU	T	T
NH046	Osativa_MSU	T	T
NH047	Osativa_MSU	T	T
NH048	Osativa_MSU	T	T
NH051	Osativa_MSU	T	T
NH052	Osativa_MSU	T	T
NH053	Osativa_MSU	T	T
NH054	Osativa_MSU	T	T
NH055	Osativa_MSU	T	T
NH056	Osativa_MSU	T	T
NH057	Osativa_MSU	T	T
NH058	Osativa_MSU	T	T
NH060	Osativa_MSU	T	T
NH061	Osativa_MSU	T	T
NH062	Osativa_MSU	T	T
NH063	Osativa_MSU	T	T
NH064	Osativa_MSU	T	T
NH065	Osativa_MSU	T	T
NH066	Osativa_MSU	T	T
NH067	Osativa_MSU	T	T
NH069	Osativa_MSU	T	T
NH070	Osativa_MSU	T	T
NH072	Osativa_MSU	T	T
NH073	Osativa_MSU	T	T
NH074	Osativa_MSU	T	T
NH075	Osativa_MSU	T	T
NH076	Osativa_MSU	T	T
NH077	Osativa_MSU	T	T
NH079	Osativa_MSU	T	T
NH080	Osativa_MSU	T	T
NH081	Osativa_MSU	T	T
NH082	Osativa_MSU	T	T
NH083	Osativa_MSU	T	T
NH084	Osativa_MSU	T	T
NH085	Osativa_MSU	T	T
NH087	Osativa_MSU	T	T
NH089	Osativa_MSU	T	T
NH090	Osativa_MSU	T	T
NH091	Osativa_MSU	T	T
NH092	Osativa_MSU	T	T
NH093	Osativa_MSU	T	T
NH094	Osativa_MSU	T	T
NH095	Osativa_MSU	T	T
NH096	Osativa_MSU	T	T
NH097	Osativa_MSU	T	T
NH098	Osativa_MSU	T	T
NH099	Osativa_MSU	T	T
NH100	Osativa_MSU	T	T
NH101	Osativa_MSU	T	T
NH103	Osativa_MSU	T	T
NH104	Osativa_MSU	T	T
NH105	Osativa_MSU	T	T
NH107	Osativa_MSU	T	T
NH109	Osativa_MSU	T	T
NH110	Osativa_MSU	T	T
NH111	Osativa_MSU	T	T
NH112	Osativa_MSU	T	T
NH113	Osativa_MSU	T	T
NH114	Osativa_MSU	T	T
NH115	Osativa_MSU	T	T
NH116	Osativa_MSU	T	T
NH117	Osativa_MSU	T	T
NH118	Osativa_MSU	T	T
NH119	Osativa_MSU	T	T
NH120	Osativa_MSU	T	T
NH122	Osativa_MSU	T	T
NH123	Osativa_MSU	T	T
NH125	Osativa_MSU	T	T
NH128	Osativa_MSU	T	T
NH129	Osativa_MSU	T	T
NH130	Osativa_MSU	T	T
NH131	Osativa_MSU	T	T
NH132	Osativa_MSU	T	T
NH133	Osativa_MSU	T	T
NH134	Osativa_MSU	T	T
NH135	Osativa_MSU	T	T
NH136	Osativa_MSU	T	T
NH137	Osativa_MSU	T	T
NH138	Osativa_MSU	T	T
NH139	Osativa_MSU	T	T
NH140	Osativa_MSU	T	T
NH141	Osativa_MSU	T	T
NH142	Osativa_MSU	T	T
NH143	Osativa_MSU	T	T
NH144	Osativa_MSU	T	T
NH145	Osativa_MSU	T	T
NH146	Osativa_MSU	T	T
NH147	Osativa_MSU	T	T
NH148	Osativa_MSU	T	T
NH149	Osativa_MSU	T	T
NH150	Osativa_MSU	T	T
NH151	Osativa_MSU	T	T
NH152	Osativa_MSU	T	T
NH153	Osativa_MSU	T	T
NH155	Osativa_MSU	T	T
NH156	Osativa_MSU	T	T
NH157	Osativa_MSU	T	T
NH158	Osativa_MSU	T	T
NH159	Osativa_MSU	T	T
NH162	Osativa_MSU	T	T
NH164	Osativa_MSU	T	T
NH166	Osativa_MSU	T	T
NH167	Osativa_MSU	T	T
NH168	Osativa_MSU	T	T
NH170	Osativa_MSU	T	T
NH171	Osativa_MSU	T	T
NH173	Osativa_MSU	T	T
NH174	Osativa_MSU	T	T
NH175	Osativa_MSU	T	T
NH176	Osativa_MSU	T	T
NH177	Osativa_MSU	T	T
NH178	Osativa_MSU	T	T
NH179	Osativa_MSU	T	T
NH181	Osativa_MSU	T	T
NH182	Osativa_MSU	T	T
NH183	Osativa_MSU	T	T
NH184	Osativa_MSU	T	T
NH186	Osativa_MSU	T	T
NH187	Osativa_MSU	T	T
NH189	Osativa_MSU	T	T
NH190	Osativa_MSU	T	T
NH191	Osativa_MSU	T	T
NH192	Osativa_MSU	T	T
NH193	Osativa_MSU	T	T
NH194	Osativa_MSU	T	T
NH196	Osativa_MSU	T	T
NH197	Osativa_MSU	T	T
NH198	Osativa_MSU	T	T
NH199	Osativa_MSU	T	T
NH201	Osativa_MSU	T	T
NH202	Osativa_MSU	T	T
NH203	Osativa_MSU	T	T
NH204	Osativa_MSU	T	T
NH205	Osativa_MSU	T	T
NH206	Osativa_MSU	T	T
NH207	Osativa_MSU	T	T
NH208	Osativa_MSU	T	T
NH210	Osativa_MSU	T	T
NH211	Osativa_MSU	T	T
NH212	Osativa_MSU	T	T
NH213	Osativa_MSU	T	T
NH214	Osativa_MSU	T	T
NH215	Osativa_MSU	T	T
NH216	Osativa_MSU	T	T
NH218	Osativa_MSU	T	T
NH219	Osativa_MSU	T	T
NH220	Osativa_MSU	T	T
NH221	Osativa_MSU	T	T
NH222	Osativa_MSU	T	T
NH223	Osativa_MSU	T	T
NH224	Osativa_MSU	T	T
NH226	Osativa_MSU	T	T
NH227	Osativa_MSU	T	T
NH229	Osativa_MSU	T	T
NH231	Osativa_MSU	T	T
NH232	Osativa_MSU	T	T
NH236	Osativa_MSU	T	T
NH237	Osativa_MSU	T	T
NH238	Osativa_MSU	T	T
NH239	Osativa_MSU	T	T
NH240	Osativa_MSU	T	T
NH241	Osativa_MSU	T	T
NH242	Osativa_MSU	T	T
NH243	Osativa_MSU	T	T
NH246	Osativa_MSU	T	T
NH247	Osativa_MSU	T	T
CW01	Osativa_MSU	T	T
CW02	Osativa_MSU	T	T
CW03	Osativa_MSU	T	T
CW05	Osativa_MSU	T	T
CW06	Osativa_MSU	T	T
CW07	Osativa_MSU	T	T
CW08	Osativa_MSU	T	T
CW09	Osativa_MSU	T	T
CW10	Osativa_MSU	T	T
CW11	Osativa_MSU	T	T
CW12	Osativa_MSU	T	T
CW13	Osativa_MSU	T	T
CW14	Osativa_MSU	T	T
CW15	Osativa_MSU	T	T
CW16	Osativa_MSU	T	T
CW17	Osativa_MSU	T	T
CW18	Osativa_MSU	T	T
CW19	Osativa_MSU	T	T
CW21	Osativa_MSU	T	T
CW22	Osativa_MSU	T	T
CW23	Osativa_MSU	T	T
CW31	Osativa_MSU	T	T
CW32	Osativa_MSU	T	T
CW33	Osativa_MSU	T	T
CW34	Osativa_MSU	T	T
CW35	Osativa_MSU	T	T
CW36	Osativa_MSU	T	T
CW37	Osativa_MSU	T	T
NH265	Osativa_MSU	T	T
NH266	Osativa_MSU	T	T
NH267	Osativa_MSU	T	T
NH268	Osativa_MSU	T	T
NH269	Osativa_MSU	T	T
NH270	Osativa_MSU	T	T
NH271	Osativa_MSU	T	T
NH272	Osativa_MSU	T	T
NH273	Osativa_MSU	T	T
NH274	Osativa_MSU	T	T
NH275	Osativa_MSU	T	T
NH277	Osativa_MSU	T	T
NH278	Osativa_MSU	T	T
NH279	Osativa_MSU	T	T
NH280	Osativa_MSU	T	T
NH281	Osativa_MSU	T	T
NH282	Osativa_MSU	T	T
NH283	Osativa_MSU	T	T
NH284	Osativa_MSU	T	T
NH285	Osativa_MSU	T	T
NH286	Osativa_MSU	T	T
