qry	tgt	minimap2	syntelog
Zmays_B97	Zmays_B73v4	T	T
Zmays_CML52	Zmays_B73v4	T	T
Zmays_CML69	Zmays_B73v4	T	T
Zmays_CML103	Zmays_B73v4	T	T
Zmays_CML228	Zmays_B73v4	T	T
Zmays_CML247	Zmays_B73v4	T	T
Zmays_CML277	Zmays_B73v4	T	T
Zmays_CML322	Zmays_B73v4	T	T
Zmays_CML333	Zmays_B73v4	T	T
Zmays_HP301	Zmays_B73v4	T	T
Zmays_Il14H	Zmays_B73v4	T	T
Zmays_Ki3	Zmays_B73v4	T	T
Zmays_Ki11	Zmays_B73v4	T	T
Zmays_Ky21	Zmays_B73v4	T	T
Zmays_M37W	Zmays_B73v4	T	T
Zmays_M162W	Zmays_B73v4	T	T
Zmays_Mo18W	Zmays_B73v4	T	T
Zmays_Ms71	Zmays_B73v4	T	T
Zmays_NC350	Zmays_B73v4	T	T
Zmays_NC358	Zmays_B73v4	T	T
Zmays_Oh7B	Zmays_B73v4	T	T
Zmays_Oh43	Zmays_B73v4	T	T
Zmays_P39	Zmays_B73v4	T	T
Zmays_Tx303	Zmays_B73v4	T	T
Zmays_Tzi8	Zmays_B73v4	T	T
Zmays_Mo17	Zmays_B73v4	T	T
Zmays_W22	Zmays_B73v4	T	T
Zmays_PH207	Zmays_B73v4	T	T
Zmays_EP1	Zmays_B73v4	T	T
Zmays_DK105	Zmays_B73v4	T	T
Zmays_F7	Zmays_B73v4	T	T
Zmays_PE0075	Zmays_B73v4	T	T
Zmays_B97	Zmays_B73v5	T	T
Zmays_CML52	Zmays_B73v5	T	T
Zmays_CML69	Zmays_B73v5	T	T
Zmays_CML103	Zmays_B73v5	T	T
Zmays_CML228	Zmays_B73v5	T	T
Zmays_CML247	Zmays_B73v5	T	T
Zmays_CML277	Zmays_B73v5	T	T
Zmays_CML322	Zmays_B73v5	T	T
Zmays_CML333	Zmays_B73v5	T	T
Zmays_HP301	Zmays_B73v5	T	T
Zmays_Il14H	Zmays_B73v5	T	T
Zmays_Ki3	Zmays_B73v5	T	T
Zmays_Ki11	Zmays_B73v5	T	T
Zmays_Ky21	Zmays_B73v5	T	T
Zmays_M37W	Zmays_B73v5	T	T
Zmays_M162W	Zmays_B73v5	T	T
Zmays_Mo18W	Zmays_B73v5	T	T
Zmays_Ms71	Zmays_B73v5	T	T
Zmays_NC350	Zmays_B73v5	T	T
Zmays_NC358	Zmays_B73v5	T	T
Zmays_Oh7B	Zmays_B73v5	T	T
Zmays_Oh43	Zmays_B73v5	T	T
Zmays_P39	Zmays_B73v5	T	T
Zmays_Tx303	Zmays_B73v5	T	T
Zmays_Tzi8	Zmays_B73v5	T	T
Zmays_Mo17	Zmays_B73v5	T	T
Zmays_W22	Zmays_B73v5	T	T
Zmays_PH207	Zmays_B73v5	T	T
Zmays_EP1	Zmays_B73v5	T	T
Zmays_DK105	Zmays_B73v5	T	T
Zmays_F7	Zmays_B73v5	T	T
Zmays_PE0075	Zmays_B73v5	T	T
